size,time,name
1750,mar 23 09:57,akt_priema_peredachi_rabochego_mesta.txt
1385,mar 23 09:57,anketa_dms.txt
650666,nov 09 19:41,customers.csv
650666,sep 26 21:59,customers.csv
1562,mar 23 09:57,doverennost_na_poluchenie_posylki.txt
3563943,nov 09 19:41,logistics.csv
3563943,sep 26 21:59,logistics.csv
1689,mar 23 09:57,perepiska_email_dostavka_kresla.txt
1542,mar 23 09:57,raspiska_poluchenie_noutbuka.txt
1391,mar 23 09:57,servisnaya_zayavka_vyezd_inzhenera.txt
2138,mar 23 09:57,soglasie_na_obrabotku_pd.txt
1386,mar 23 09:57,zayavka_kompensaciya_interneta.txt
1257,mar 23 09:57,zayavka_na_propusk_v_zhk.txt
1372,mar 23 09:57,zayavlenie_dostavka_oborudovaniya_domoi.txt
8879363,sep 26 22:01,physical.parquet
